ord;species;L;F;R;N;S;HM;T;K;TRU
P;Clematis vitalba;6;4;8;5;0;NA;NA;NA;NA
P;Clinopodium ascendens;7;5;7;6;0;NA;NA;NA;NA
P;Clinopodium calamintha;8;3;9;3;0;NA;NA;NA;NA
P;Clinopodium menthifolium;5;5;8;5;0;NA;NA;NA;NA
P;Clinopodium vulgare;7;4;7;4;0;NA;NA;NA;NA
P;Cochlearia anglica;8;8;7;6;6;NA;NA;NA;NA
P;Cochlearia atlantica;8;6;7;5;4;NA;NA;NA;NA
P;Cochlearia danica;9;6;7;5;4;NA;NA;NA;NA
P;Cochlearia micacea;8;8;7;2;0;NA;NA;NA;NA
P;Cochlearia officinalis;8;6;7;5;3;NA;NA;NA;NA
P;Cochlearia pyrenaica;8;7;8;3;0;NA;NA;NA;NA
P;Coeloglossum viride;7;4;6;2;0;NA;NA;NA;NA
P;Coincya monensis;9;4;6;3;0;NA;NA;NA;NA
P;Coincya wrightii;9;4;4;3;0;NA;NA;NA;NA
P;Colchicum autumnale;6;6;6;4;0;NA;NA;NA;NA
P;Colutea arborescens;7;4;8;3;0;NA;NA;NA;NA
