"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"196",354,27630007787500,"ANO0537",500,1740,2739,763250,7787750,537,1,2020,19,5429,"Troms nor 1","N",1,1943,"KVÆNANGEN","Troms","Nord-Norge",5
"197",385,22915007018000,"ANO0541",500,797,1200,291750,7018250,541,2,2020,50,5032,"Trøndelag nor","C",2,1664,"SELBU","Sør-Trøndelag","Midt-Norge",12.5
"198",183,26570007675500,"ANO0558",500,1528,2515,657250,7675750,558,1,2020,19,5418,"Troms nor 1","N",1,1924,"MÅLSELV","Troms","Nord-Norge",5
"199",420,20675006721500,"ANO0566",500,349,607,67750,6721750,566,2,2020,12,4619,"Hordaland nor","W",3,1232,"EIDFJORD","Hordaland","Vestlandet",12.5
"200",384,20150006594500,"ANO0571",500,244,353,15250,6594750,571,2,2020,11,1133,"Rogaland nor","W",3,1133,"HJELMELAND","Rogaland","Vestlandet",12.5
"201",929,22045006825000,"ANO0574",500,623,814,204750,6825250,574,3,2020,5,3438,"Oppland nor","E",5,519,"SØR-FRON","Oppland","Østlandet",10
"202",282,29935007851500,"ANO0580",500,2201,2867,993750,7851750,580,1,2020,20,5441,"Finnmark nor 1","N",1,2025,"DEATNU_TANA","Finnmark","Nord-Norge",2.5
"203",984,23190006773000,"ANO0588",500,852,710,319250,6773250,588,3,2020,4,3420,"Hedmark nor","E",5,427,"ELVERUM","Hedmark","Østlandet",12.5
"204",240,30270007831000,"ANO0606",500,2268,2826,1027250,7831250,606,1,2020,20,5442,"Finnmark nor 1","N",1,2027,"UNJARGGA_NESSEBY","Finnmark","Nord-Norge",2.5
"205",426,19980006728000,"ANO0612",500,210,620,-1750,6728250,612,2,2020,12,4623,"Hordaland nor","W",3,1242,"SAMNANGER","Hordaland","Vestlandet",12.5
"206",782,21395006537500,"ANO0614",500,493,239,139750,6537750,614,3,2020,9,4212,"Aust-Agder nor","S",4,912,"VEGÅRSHEI","Aust-Agder","Sørlandet",12.5
"207",707,23035006796500,"ANO0618",500,821,757,303750,6796750,618,3,2020,4,3422,"Hedmark nor","E",5,429,"ÅMOT","Hedmark","Østlandet",12.5
"208",272,25055007594500,"ANO0622",500,1225,2353,505750,7594750,622,1,2020,18,1866,"Nordland nor","N",1,1866,"HADSEL","Nordland","Nord-Norge",5
"209",806,21785006756000,"ANO0623",500,571,676,178750,6756250,623,3,2020,6,3041,"Buskerud nor","E",5,617,"GOL","Buskerud","Østlandet",12.5
"210",213,26855007690000,"ANO0627",500,1585,2544,685750,7690250,627,1,2020,19,5425,"Troms nor 1","N",1,1939,"STORFJORD","Troms","Nord-Norge",5
